"Target","ChoiceOption","PID","condType","dyadID","PersonID","Time","gender","DyadPercentTimeChosen","SameTribe","similarity","mean_time_chosen","C_DyadTimeChosen","CW_DyadTimeChosen","CB_DyadTimeChosen"
"Alicia","Amber",20,"Rival",1,1,0,0,0.555555555555556,1,0.5076937,0.48240044555834,0.0560655386261067,0.0731551099972153,-0.0170895713711086
"Alicia","Amber",50,"Rival",1,1,0,0,0.25,1,0.5076937,0.48240044555834,-0.249490016929449,-0.23240044555834,-0.0170895713711086
"Alicia","Amber",22,"Rival",1,1,0,0,0.35,1,0.5076937,0.48240044555834,-0.149490016929449,-0.13240044555834,-0.0170895713711086
"Alicia","Amber",23,"Rival",1,1,0,0,0.65,1,0.5076937,0.48240044555834,0.150509983070551,0.16759955444166,-0.0170895713711086
"Alicia","Amber",24,"Rival",1,1,0,0,0.4,1,0.5076937,0.48240044555834,-0.0994900169294488,-0.0824004455583403,-0.0170895713711086
"Alicia","Amber",53,"Rival",1,1,0,0,0.65,1,0.5076937,0.48240044555834,0.150509983070551,0.16759955444166,-0.0170895713711086
"Alicia","Amber",25,"Rival",1,1,0,0,0.6,1,0.5076937,0.48240044555834,0.100509983070551,0.11759955444166,-0.0170895713711086
"Alicia","Amber",26,"Rival",1,1,0,0,0.701388888888889,1,0.5076937,0.48240044555834,0.20189887195944,0.218988443330549,-0.0170895713711086
"Alicia","Amber",56,"Rival",1,1,0,0,0.472222222222222,1,0.5076937,0.48240044555834,-0.0272677947072266,-0.0101782233361181,-0.0170895713711086
"Alicia","Amber",28,"Rival",1,1,0,0,0.55,1,0.5076937,0.48240044555834,0.0505099830705512,0.0675995544416598,-0.0170895713711086
"Alicia","Amber",1,"Rival",1,1,0,0,0.55,1,0.5076937,0.48240044555834,0.0505099830705512,0.0675995544416598,-0.0170895713711086
"Alicia","Amber",30,"Rival",1,1,0,0,0.8,1,0.5076937,0.48240044555834,0.300509983070551,0.31759955444166,-0.0170895713711086
"Alicia","Amber",2,"Rival",1,1,0,0,0.571428571428571,1,0.5076937,0.48240044555834,0.0719385544991226,0.0890281258702311,-0.0170895713711086
"Alicia","Amber",31,"Rival",1,1,0,0,0.35,1,0.5076937,0.48240044555834,-0.149490016929449,-0.13240044555834,-0.0170895713711086
"Alicia","Amber",59,"Rival",1,1,0,0,0.7,1,0.5076937,0.48240044555834,0.200509983070551,0.21759955444166,-0.0170895713711086
"Alicia","Amber",32,"Rival",1,1,0,0,0.422222222222222,1,0.5076937,0.48240044555834,-0.0772677947072266,-0.0601782233361181,-0.0170895713711086
"Alicia","Amber",4,"Rival",1,1,0,0,0.533333333333333,1,0.5076937,0.48240044555834,0.0338433164038845,0.0509328877749931,-0.0170895713711086
"Alicia","Amber",33,"Rival",1,1,0,0,0.5,1,0.5076937,0.48240044555834,0.000509983070551168,0.0175995544416597,-0.0170895713711086
"Alicia","Amber",5,"Rival",1,1,0,0,0.35,1,0.5076937,0.48240044555834,-0.149490016929449,-0.13240044555834,-0.0170895713711086
"Alicia","Amber",34,"Rival",1,1,0,0,0.577777777777778,1,0.5076937,0.48240044555834,0.0782877608483289,0.0953773322194374,-0.0170895713711086
"Alicia","Amber",35,"Rival",1,1,0,0,0.55,1,0.5076937,0.48240044555834,0.0505099830705512,0.0675995544416598,-0.0170895713711086
"Alicia","Amber",7,"Rival",1,1,0,0,0.411111111111111,1,0.5076937,0.48240044555834,-0.0883789058183377,-0.0712893344472292,-0.0170895713711086
"Alicia","Amber",36,"Rival",1,1,0,0,0.85,1,0.5076937,0.48240044555834,0.350509983070551,0.36759955444166,-0.0170895713711086
"Alicia","Amber",8,"Rival",1,1,0,0,0.65,1,0.5076937,0.48240044555834,0.150509983070551,0.16759955444166,-0.0170895713711086
"Alicia","Amber",37,"Rival",1,1,0,0,0.4,1,0.5076937,0.48240044555834,-0.0994900169294488,-0.0824004455583403,-0.0170895713711086
"Alicia","Amber",39,"Rival",1,1,0,0,0.727777777777778,1,0.5076937,0.48240044555834,0.228287760848329,0.245377332219438,-0.0170895713711086
"Alicia","Amber",10,"Rival",1,1,0,0,0.466666666666667,1,0.5076937,0.48240044555834,-0.0328233502627822,-0.0157337788916736,-0.0170895713711086
"Alicia","Amber",40,"Rival",1,1,0,0,0.5,1,0.5076937,0.48240044555834,0.000509983070551168,0.0175995544416597,-0.0170895713711086
"Alicia","Amber",11,"Rival",1,1,0,0,0.683333333333333,1,0.5076937,0.48240044555834,0.183843316403885,0.200932887774993,-0.0170895713711086
"Alicia","Amber",41,"Rival",1,1,0,0,0.833333333333333,1,0.5076937,0.48240044555834,0.333843316403884,0.350932887774993,-0.0170895713711086
"Alicia","Amber",42,"Rival",1,1,0,0,0.366666666666667,1,0.5076937,0.48240044555834,-0.132823350262782,-0.115733778891674,-0.0170895713711086
"Alicia","Amber",13,"Rival",1,1,0,0,0.55,1,0.5076937,0.48240044555834,0.0505099830705512,0.0675995544416598,-0.0170895713711086
"Alicia","Amber",43,"Rival",1,1,0,0,0.5,1,0.5076937,0.48240044555834,0.000509983070551168,0.0175995544416597,-0.0170895713711086
"Alicia","Amber",14,"Rival",1,1,0,0,0.45,1,0.5076937,0.48240044555834,-0.0494900169294488,-0.0324004455583403,-0.0170895713711086
"Alicia","Amber",44,"Rival",1,1,0,0,0.427777777777778,1,0.5076937,0.48240044555834,-0.071712239151671,-0.0546226677805625,-0.0170895713711086
"Alicia","Amber",45,"Rival",1,1,0,0,0.6,1,0.5076937,0.48240044555834,0.100509983070551,0.11759955444166,-0.0170895713711086
