"Target","ChoiceOption","PID","condType","dyadID","PersonID","Time","gender","DyadPercentTimeChosen","SameTribe","similarity","mean_time_chosen","C_DyadTimeChosen","CW_DyadTimeChosen","CB_DyadTimeChosen"
"Alicia","Amber",1,"Friend",1,1,0,0,0.5,1,0.5076937,0.48240044555834,0.000509983070551168,0.0175995544416597,-0.0170895713711086
"Alicia","Amber",30,"Friend",1,1,0,0,0.277777777777778,1,0.5076937,0.48240044555834,-0.221712239151671,-0.204622667780562,-0.0170895713711086
"Alicia","Amber",2,"Friend",1,1,0,0,0.666666666666667,1,0.5076937,0.48240044555834,0.167176649737218,0.184266221108326,-0.0170895713711086
"Alicia","Amber",31,"Friend",1,1,0,0,0.314285714285714,1,0.5076937,0.48240044555834,-0.185204302643735,-0.168114731272626,-0.0170895713711086
"Alicia","Amber",59,"Friend",1,1,0,0,0.422222222222222,1,0.5076937,0.48240044555834,-0.0772677947072266,-0.0601782233361181,-0.0170895713711086
"Alicia","Amber",32,"Friend",1,1,0,0,0.211111111111111,1,0.5076937,0.48240044555834,-0.288378905818338,-0.271289334447229,-0.0170895713711086
"Alicia","Amber",4,"Friend",1,1,0,0,0.372222222222222,1,0.5076937,0.48240044555834,-0.127267794707227,-0.110178223336118,-0.0170895713711086
"Alicia","Amber",33,"Friend",1,1,0,0,0.4,1,0.5076937,0.48240044555834,-0.0994900169294488,-0.0824004455583403,-0.0170895713711086
"Alicia","Amber",5,"Friend",1,1,0,0,0.55,1,0.5076937,0.48240044555834,0.0505099830705512,0.0675995544416598,-0.0170895713711086
"Alicia","Amber",34,"Friend",1,1,0,0,0.55,1,0.5076937,0.48240044555834,0.0505099830705512,0.0675995544416598,-0.0170895713711086
"Alicia","Amber",35,"Friend",1,1,0,0,0.311111111111111,1,0.5076937,0.48240044555834,-0.188378905818338,-0.171289334447229,-0.0170895713711086
"Alicia","Amber",7,"Friend",1,1,0,0,0.483333333333333,1,0.5076937,0.48240044555834,-0.0161566835961156,0.000932887774993008,-0.0170895713711086
"Alicia","Amber",36,"Friend",1,1,0,0,0.55,1,0.5076937,0.48240044555834,0.0505099830705512,0.0675995544416598,-0.0170895713711086
"Alicia","Amber",8,"Friend",1,1,0,0,0.427777777777778,1,0.5076937,0.48240044555834,-0.071712239151671,-0.0546226677805625,-0.0170895713711086
"Alicia","Amber",37,"Friend",1,1,0,0,0.45,1,0.5076937,0.48240044555834,-0.0494900169294488,-0.0324004455583403,-0.0170895713711086
"Alicia","Amber",39,"Friend",1,1,0,0,0.416666666666667,1,0.5076937,0.48240044555834,-0.0828233502627822,-0.0657337788916736,-0.0170895713711086
"Alicia","Amber",10,"Friend",1,1,0,0,0.333333333333333,1,0.5076937,0.48240044555834,-0.166156683596115,-0.149067112225007,-0.0170895713711086
"Alicia","Amber",40,"Friend",1,1,0,0,0.6,1,0.5076937,0.48240044555834,0.100509983070551,0.11759955444166,-0.0170895713711086
"Alicia","Amber",11,"Friend",1,1,0,0,0.5,1,0.5076937,0.48240044555834,0.000509983070551168,0.0175995544416597,-0.0170895713711086
"Alicia","Amber",41,"Friend",1,1,0,0,0.6,1,0.5076937,0.48240044555834,0.100509983070551,0.11759955444166,-0.0170895713711086
"Alicia","Amber",42,"Friend",1,1,0,0,0.316666666666667,1,0.5076937,0.48240044555834,-0.182823350262782,-0.165733778891674,-0.0170895713711086
"Alicia","Amber",13,"Friend",1,1,0,0,0.35,1,0.5076937,0.48240044555834,-0.149490016929449,-0.13240044555834,-0.0170895713711086
"Alicia","Amber",43,"Friend",1,1,0,0,0.35,1,0.5076937,0.48240044555834,-0.149490016929449,-0.13240044555834,-0.0170895713711086
"Alicia","Amber",14,"Friend",1,1,0,0,0.35,1,0.5076937,0.48240044555834,-0.149490016929449,-0.13240044555834,-0.0170895713711086
"Alicia","Amber",44,"Friend",1,1,0,0,0.45,1,0.5076937,0.48240044555834,-0.0494900169294489,-0.0324004455583403,-0.0170895713711086
"Alicia","Amber",45,"Friend",1,1,0,0,0.5,1,0.5076937,0.48240044555834,0.000509983070551168,0.0175995544416597,-0.0170895713711086
"Alicia","Amber",16,"Friend",1,1,0,0,0.322222222222222,1,0.5076937,0.48240044555834,-0.177267794707227,-0.160178223336118,-0.0170895713711086
"Alicia","Amber",46,"Friend",1,1,0,0,0.35,1,0.5076937,0.48240044555834,-0.149490016929449,-0.13240044555834,-0.0170895713711086
"Alicia","Amber",18,"Friend",1,1,0,0,0.65,1,0.5076937,0.48240044555834,0.150509983070551,0.16759955444166,-0.0170895713711086
"Alicia","Amber",47,"Friend",1,1,0,0,0.652777777777778,1,0.5076937,0.48240044555834,0.153287760848329,0.170377332219438,-0.0170895713711086
"Alicia","Amber",48,"Friend",1,1,0,0,0.6,1,0.5076937,0.48240044555834,0.100509983070551,0.11759955444166,-0.0170895713711086
"Alicia","Amber",20,"Friend",1,1,0,0,0.284722222222222,1,0.5076937,0.48240044555834,-0.214767794707227,-0.197678223336118,-0.0170895713711086
"Alicia","Amber",21,"Friend",1,1,0,0,0.65,1,0.5076937,0.48240044555834,0.150509983070551,0.16759955444166,-0.0170895713711086
"Alicia","Amber",51,"Friend",1,1,0,0,0.5,1,0.5076937,0.48240044555834,0.000509983070551168,0.0175995544416597,-0.0170895713711086
"Alicia","Amber",23,"Friend",1,1,0,0,0.520833333333333,1,0.5076937,0.48240044555834,0.0213433164038844,0.038432887774993,-0.0170895713711086
"Alicia","Amber",24,"Friend",1,1,0,0,0.45,1,0.5076937,0.48240044555834,-0.0494900169294489,-0.0324004455583403,-0.0170895713711086
