ClipNumber,Dialogue,Speaker,Recipient,RecipientType
5,"Just today, I really needed it, so I got a little excited.",ShiiAnn,Tribe,A Group
5,That's all right,Jenna,ShiiAnn,One Person
5,"The thing that bothered me about ShiiAnn's victory is that she tried to throw it in our face the moment she won. And the first thing she does is let out this victory cry, and she's, like, ""Yeah! Ha! I did it!"" You know? She's pointing at all of us, and I just looked at her and said, ""I wouldn't be that cocky - you still have to live with us.""",Alicia,Camera,
5,Let her enjoy her moment.,Alicia,Tribe,A Group
5,"Yeah, it's not gonna last.",Rob,Tribe,A Group
5,It's her moment.,Alicia,Tribe,A Group
5,"I'm feeling a whole lot better now that these proud little Chaboga Mogos are gonna have to eat one of their own. I love the fact that they're all sitting there squirming in their shorts, ignoring me yet again. They should have been cutting deals with me before my immunity win. Now that I have an immunity win, I know that Alicia's head is on the chopping block, Rob Mariano's head's on the chopping block, and so is Rupert's. Stupid people. Stupid people. Let me just say that again: stupid players.",ShiiAnn,Camera,
5,You know you're head is big-time on the chopping block today.,ShiiAnn,Rupert,One Person
5,Oh I know. I'm taking all my stuff to Tribal Council with me.,Rupert,ShiiAnn,One Person
5,I'm telling you. Rob is the person to get rid of because he's the kingpin. You got to work it or else you're going.,ShiiAnn,Rupert,One Person
5,"Oh, I know.",Rupert,ShiiAnn,One Person
5,ShiiAnn's a deal maker. Such a strategist. Look at her down there. Look at the strategizing going on right now.,Rob,Tribe,A Group
5,"I have two options tonight. I can stick with Rupert and Jenna, myself and Amber to make that foursome, or I can go with Big Tom, Alicia, Amber and myself... and take out Rupert or Jenna, 'cause I don't know if Rupert and Jenna are like 100% with us. I like to say Alicia is out of here. She is. She's out of here. Maybe not. Maybe me.",Rob,Camera,
5,"For me, it's between probably Rupert or Alicia.",Amber,ShiiAnn,One Person
5,You prefer Alicia.,ShiiAnn,Amber,One Person
5,I don't know.,Amber,ShiiAnn,One Person
5,"For me it would be between Rupert and Rob, because I think one of them needs to go. They're too big and too powerful. You feel more comfortable with Rob, you trust him more 'cause you're...",ShiiAnn,Amber,One Person
5,"Well, I...I trust him more and I think that even if I'm lying to him, he's gonna trust me.",Amber,ShiiAnn,One Person
5,"She's so sweet. You hate to hate her because she's so lovely and she's got those beautiful green eyes, but you know what? She is one of the shrewdest players out here.",ShiiAnn,Camera,
5,"""We love you. We can't wait for you to come home and be a family. Wherever you are, I know you're kicking some ass. Remember, the key to the game is loose lips sink ships.""",Rob,Amber,
5,What?,Amber,Rob,One Person
5,"Honestly, like, if I didn't trust you 100%, I would never let you read this, but, you know...",Rob,Amber,One Person
5,"""Remember, they key to the game is loose lips.""",Amber,Rob,One Person
5,"My main alliance still is with Amber. It's because she trusts me completely; even though I may not trust her 100% completely, I know she does. I think she does.",Rob,Camera,
5,We can do this. We're going to do this. You know that? We gotta just keep the paranoia to a minimum before Tribal Council.,Rob,Amber,One Person
6,"We gotta trust in a game like this. It's like huge, you know? It makes all the difference in the world and I appreciate it.",Rob,Amber,One Person
6,"Of course she's playing the game. She may be playing me, I don't know. I don't think so. I really don't. I think it's genuine what's going on. I could be the biggest sucker in history, and if so, hey - she had me fooled.",Rob,Camera,
6,"Now bring in the members of our jury, Lex and Kathy, voted out in the last Tribal Council. I'll remind you guys that the jury's here merely to observe. They're not to talk to you. You're not to try and communicate with them.",Probst,Tribe,
6,"It's been a busy couple of days, culminating with a very big and, from what I gather today, important victory at today's immunity challenge for you, ShiiAnn.",Probst,ShiiAnn,
6,"Yes, very, very important.",ShiiAnn,Probst,
6,"You were very vocal today and, from where I sat, sort of created an island for yourself.",Probst,ShiiAnn,
6,"This tribe is very unique in that they've been very, very open with me about the fact that they are a tight alliance and I'm going home next. So, you know, today at the challenge, I was very vocal, because I'm going to try my best to fight.",ShiiAnn,Tribe,A Group
6,"Rupert, what's your take on everything that went down today?",Probst,Rupert,
6,"That was one heck of a hard challenge. After 20 minutes, I was dying. ShiiAnn says she was the only one that needed it, but now somebody else needs it. There's been talk that I'm targeted. I felt like, especially with that silly reward challenge that was the pecking order caca. I'm up. I mean, my number could be up.",Rupert,Tribe,A Group
6,"Alicia, we have four from the original Chapera. You guys have the numbers. How strong is that group still?",Probst,Alicia,
6,"Well, the original Chapera is- is always going to be strong because we've been together from the day one, but we also could not have done it without Rupert and Jenna joining our tribe. Honestly, we knew that once we got to six, game on. Anything can happen and any one of us is vulnerable at this point.",Alicia,Tribe,A Group
6,"ShiiAnn, did you notice a power shift today? Were you the person in camp people wanted to come talk to and try and make a deal?",Probst,ShiiAnn,
6,"No, I-I You know, it's so funny. What I notice about this group of six is that, as far as I can tell, no one wants to take a leadership position and say this person in particular is getting voted out tonight.",ShiiAnn,Tribe,A Group
6,"Jenna, you were rolling your head all over the place.",Probst,Jenna,
6,Cause it makes us sound dumb.,Jenna,Tribe,A Group
6,"No, no, no, I don't think...",ShiiAnn,Jenna,One Person
6,"Hold off, ShiiAnn.",Probst,ShiiAnn,
6,"I mean, maybe we're not telling ShiiAnn everything because we don't need her to know our strategies.",Jenna,Tribe,A Group
6,"Boston Rob, first time in a while, you haven't had that necklace around your neck. You're a provider, very strong, seem to be a likeable guy. Why not get rid of you while we have the opportunity?",Probst,Rob,
6,"What are you giving them ideas for, Jeff?",Rob,Probst,
6,It had to have crossed your mind.,Probst,Rob,
6,"Of course. Are you kidding me? I'm sitting here, I won the first two immunities, I've been strong pretty much, I think, the whole game. I'm definitely nervous tonight and I wish I had that necklace on.",Rob,Tribe,A Group
6,"On that note, it's time to vote.",Probst,Tribe,
6,"ShiiAnn, you have immunity. I know you don't want to give it away, but I'll go ahead and ask.",Probst,ShiiAnn,
6,"No, Jeff, I'm not going to give it away.",ShiiAnn,Probst,
6,You cannot vote for ShiiAnn. Everybody else is fair game. Let's vote.,Probst,Tribe,
6,"Amber, you're up.",Probst,Amber,
6,"Remember the little fight we had on day three, where I zipped my lip? I've been waiting to do this for 27 days, so... au revoir, adios, arrivederci, sayonara, or as we say in Boston, see you later.",Rob,Camera,
6,"I'll go tally the votes. Once the votes are read, the decision is final. The person voted out will be asked to leave the Tribal Council area immediately. I'll read the votes. First vote... Alicia. Alicia. Two votes Alicia. Rupert. Two votes Alicia, one vote Rupert. Alicia. Twelfth person voted out of Survivor: All-Stars, and the third member of our jury, Alicia.",Probst,Tribe,
6,You need to bring me your torch.,Probst,Alicia,
6,"Well, somebody turned. I'd better not find out who it is.",Alicia,Tribe,A Group
6,"Alicia, the tribe has spoken.",Probst,Alicia,
6,"Well, ShiiAnn was very open tonight in sharing that she was treated with respect and honesty regarding her status in the tribe. Clearly, that doesn't apply to members of your own family of six, as Alicia never saw it coming. Nine days left, guys. Grab your torches. Go back to camp. Good night.",Probst,Tribe,
