ClipNumber,Dialogue,Speaker,Recipient,RecipientType
2,"Have a seat on the bench, Big Tom. You're out of the game.",Probst,Tom,One Person
2,"Next question: ""Who uses sex appeal as a weapon?"" Nobody even hesitating on this one; everybody's flipping quickly. Reveal. Everybody says Amber including Amber.",Probst,Tribe,Group
2,So you fully own up to using sex appeal.,Probst,Amber,One Person
2,I fully own up to it.,Amber,Probst,One Person
2,Everybody gets a chop again.,Probst,Tribe,Group
2,"Alicia, you're up.",Probst,Alicia,
2,"Amber, since you're going to use it as a weapon, how about.",Alicia,Amber,One Person
2,Amber going to take her first hit.,Probst,Tribe,
2,Jenna.,Probst,Jenna,
2,And payback.,Jenna,Tribe,A Group
2,Amber takes her second hit.,Probst,Tribe,
2,"ShiiAnn, you going to put her out?",Probst,ShiiAnn,
2,"This is hard. Rupert doesn't have one, but",ShiiAnn,Tribe,A Group
2,"Jenna, I have to take you out just because.",ShiiAnn,Jenna,One Person
2,"And with that, Jenna was completely beheaded. Amber's got some payback.",Probst,Tribe,
2,"Sorry, Alicia.",Amber,Alicia,One Person
2,"Hey, it's all right.",Alicia,Amber,One Person
2,Alicia takes her second hit.,Probst,Tribe,
2,"Rupert, why are you laughing?",Probst,Rupert,
2,"ShiiAnn, she's got to stop telling people to hit me.",Rupert,Probst,A Group
2,Uh oh.,Probst,Rupert,
2,ShiiAnn takes it right between the eyes.,Probst,Tribe,
2,Boston Rob.,Probst,Rob,
2,No need in keeping the stragglers around.,Rob,Tribe,A Group
2,"All right, go ahead.",Alicia,Rob,One Person
2,Bye bye Alicia.,Probst,Alicia,
2,We are down to three. Who is under the false assumption that they are smart? Reveal. Amber says Tom. Rupert says himself. Boston Rob says Jenna. You're all wrong. The group thought Alicia was most under the false assumption that she was smart.,Probst,Tribe,
2,"I don't like these people anymore, let me tell you something.",Alicia,Probst,A Group
2,You're taking some hits today.,Probst,Alicia,
2,I'm taking some hits today that's alright.,Alicia,Probst,A Group
2,"Next question. Who did the group think was the most honest? Reveal. Amber and Rupert say Rupert. Rob said himself. Correct answer, Rupert. Amber and Rupert are right.",Probst,Tribe,
2,"Amber, you are up. You only have two choices. Boston Rob has taken one hit, Rupert has taken no hits.",Probst,Amber,
2,"Sorry, Rob.",Jenna,Rob,A Group
2,Rob down to his last pop. Rupert could put him out of the game right here.,Probst,Tribe,
2,I have to.,Rupert,Probst,A Group
2,You could put her out.,Rob,Rupert,One Person
2,I could but Amber didn't hit me.,Rupert,Rob,One Person
2,Boston Rob is no more.,Probst,Tribe,
2,"Boston Rob, have a seat.",Probst,Rob,
2,Here's where we're at.,Probst,Tribe,
2,"Rupert, you still have three hits left.",Probst,Rupert,
