"","Target","ChoiceOption","ClipNumber","PID","condType","percent.chosen","Speaker","Recipient","dyad","recent.similarity"
"66","Alicia","Amber",2,49,"Rival",0.75,"Alicia","Amber","AliciaAmber",0.48301935
"67","Alicia","Amber",2,1,"Rival",0.6,"Alicia","Amber","AliciaAmber",0.48301935
"68","Alicia","Amber",2,60,"Rival",0.6,"Alicia","Amber","AliciaAmber",0.48301935
"69","Alicia","Amber",2,34,"Rival",0.4,"Alicia","Amber","AliciaAmber",0.48301935
"70","Alicia","Amber",2,9,"Friend",0.4,"Alicia","Amber","AliciaAmber",0.48301935
"71","Alicia","Amber",2,36,"Rival",0.8,"Alicia","Amber","AliciaAmber",0.48301935
"72","Alicia","Amber",2,44,"Win",0.2,"Alicia","Amber","AliciaAmber",0.48301935
"73","Alicia","Amber",2,30,"Friend",0,"Alicia","Amber","AliciaAmber",0.48301935
"74","Alicia","Amber",2,27,"Rival",0.75,"Alicia","Amber","AliciaAmber",0.48301935
"75","Alicia","Amber",2,58,"Rival",0.4,"Alicia","Amber","AliciaAmber",0.48301935
"76","Alicia","Amber",2,40,"Rival",0.2,"Alicia","Amber","AliciaAmber",0.48301935
"77","Alicia","Amber",2,6,"Friend",0.6,"Alicia","Amber","AliciaAmber",0.48301935
"78","Alicia","Amber",2,4,"Rival",0.6,"Alicia","Amber","AliciaAmber",0.48301935
"79","Alicia","Amber",2,56,"Win",0,"Alicia","Amber","AliciaAmber",0.48301935
"80","Alicia","Amber",2,46,"Friend",0.2,"Alicia","Amber","AliciaAmber",0.48301935
"81","Alicia","Amber",2,21,"Friend",0.8,"Alicia","Amber","AliciaAmber",0.48301935
"82","Alicia","Amber",2,24,"Win",0.4,"Alicia","Amber","AliciaAmber",0.48301935
"83","Alicia","Amber",2,16,"Friend",0.4,"Alicia","Amber","AliciaAmber",0.48301935
"84","Alicia","Amber",2,14,"Rival",0,"Alicia","Amber","AliciaAmber",0.48301935
"85","Alicia","Amber",2,53,"Friend",0.6,"Alicia","Amber","AliciaAmber",0.48301935
"86","Alicia","Amber",2,39,"Rival",0.6,"Alicia","Amber","AliciaAmber",0.48301935
"87","Alicia","Amber",2,22,"Friend",0.8,"Alicia","Amber","AliciaAmber",0.48301935
"88","Alicia","Amber",2,12,"Friend",0.8,"Alicia","Amber","AliciaAmber",0.48301935
"89","Alicia","Amber",2,43,"Rival",0.6,"Alicia","Amber","AliciaAmber",0.48301935
"90","Alicia","Amber",2,31,"Rival",0,"Alicia","Amber","AliciaAmber",0.48301935
"91","Alicia","Amber",2,8,"Rival",0.4,"Alicia","Amber","AliciaAmber",0.48301935
"92","Alicia","Amber",2,50,"Win",0.6,"Alicia","Amber","AliciaAmber",0.48301935
"93","Alicia","Amber",2,57,"Win",1,"Alicia","Amber","AliciaAmber",0.48301935
"94","Alicia","Amber",2,20,"Win",0.6,"Alicia","Amber","AliciaAmber",0.48301935
"95","Alicia","Amber",2,54,"Rival",1,"Alicia","Amber","AliciaAmber",0.48301935
"96","Alicia","Amber",2,55,"Friend",0.8,"Alicia","Amber","AliciaAmber",0.48301935
"97","Alicia","Amber",2,19,"Friend",0.6,"Alicia","Amber","AliciaAmber",0.48301935
"98","Alicia","Amber",2,2,"Rival",1,"Alicia","Amber","AliciaAmber",0.48301935
"99","Alicia","Amber",2,33,"Friend",0.4,"Alicia","Amber","AliciaAmber",0.48301935
"100","Alicia","Amber",2,47,"Rival",0.5,"Alicia","Amber","AliciaAmber",0.48301935
"101","Alicia","Amber",2,32,"Rival",0.5,"Alicia","Amber","AliciaAmber",0.48301935
"102","Alicia","Amber",2,41,"Win",0.4,"Alicia","Amber","AliciaAmber",0.48301935
"103","Alicia","Amber",2,48,"Win",0.6,"Alicia","Amber","AliciaAmber",0.48301935
"104","Alicia","Amber",2,45,"Friend",0.8,"Alicia","Amber","AliciaAmber",0.48301935
"105","Alicia","Amber",2,52,"Friend",0.8,"Alicia","Amber","AliciaAmber",0.48301935
"106","Alicia","Amber",2,15,"Rival",0.4,"Alicia","Amber","AliciaAmber",0.48301935
"107","Alicia","Amber",2,35,"Friend",0.2,"Alicia","Amber","AliciaAmber",0.48301935
"108","Alicia","Amber",2,11,"Win",0.75,"Alicia","Amber","AliciaAmber",0.48301935
"109","Alicia","Amber",2,23,"Friend",1,"Alicia","Amber","AliciaAmber",0.48301935
"110","Alicia","Amber",2,18,"Win",1,"Alicia","Amber","AliciaAmber",0.48301935
"111","Alicia","Amber",2,13,"Rival",0.4,"Alicia","Amber","AliciaAmber",0.48301935
"112","Alicia","Amber",2,10,"Win",0.5,"Alicia","Amber","AliciaAmber",0.48301935
"113","Alicia","Amber",2,25,"Win",0.6,"Alicia","Amber","AliciaAmber",0.48301935
