"","Alicia","Amber","Jenna","Rob","Rupert","ShiiAnn","Tom"
"Alicia",1,0.48301935,0.3798803,0.35666144,0.16789228,0.32340726,0.2576818
"Amber",0.48301935,1.0000004,0.41240346,0.3485217,0.17664184,0.5143144,0.11626175
"Jenna",0.3798803,0.41240346,0.9999999,0.45308465,0.37340558,0.44751328,0.400083
"Rob",0.35666144,0.3485217,0.45308465,1,0.21470822,0.4634887,0.32766008
"Rupert",0.16789228,0.17664184,0.37340558,0.21470822,1,0.21465535,0.30910575
"ShiiAnn",0.32340726,0.5143144,0.44751328,0.4634887,0.21465535,1,0.2170642
"Tom",0.2576818,0.11626175,0.400083,0.32766008,0.30910575,0.2170642,1.0000007
