"","Alicia","Amber","Jenna","Rob","Rupert","ShiiAnn","Tom"
"Alicia",1.0000002,0.4503857,0.5039581,0.34965456,0.552875,0.46053484,0.2077936
"Amber",0.4503857,1.0000004,0.48423475,0.26719558,0.61114717,0.25111583,0.28360355
"Jenna",0.5039581,0.48423475,1.0000001,0.10557853,0.49804792,0.34376356,0.2384167
"Rob",0.34965456,0.26719558,0.10557853,1,0.21126232,0.16068155,0.15957335
"Rupert",0.552875,0.61114717,0.49804792,0.21126232,0.99999994,0.37203526,0.2314719
"ShiiAnn",0.46053484,0.25111583,0.34376356,0.16068155,0.37203526,0.99999976,0.1872727
"Tom",0.2077936,0.28360355,0.2384167,0.15957335,0.2314719,0.1872727,1
