"","Alicia","Amber","Jenna","Rob","Rupert","ShiiAnn","Tom"
"Alicia",1.0000001,0.35860553,0.37120393,0.3588369,0.35148403,0.30532515,0.37485945
"Amber",0.35860553,1.0000001,0.4294961,0.29281175,0.45162663,0.4691356,0.382424
"Jenna",0.37120393,0.4294961,1.0000004,0.27050847,0.26886886,0.36493385,0.3613852
"Rob",0.3588369,0.29281175,0.27050847,1.0000001,0.55857396,0.3302989,0.38816562
"Rupert",0.35148403,0.45162663,0.26886886,0.55857396,0.9999999,0.39008415,0.43186218
"ShiiAnn",0.30532515,0.4691356,0.36493385,0.3302989,0.39008415,1.0000001,0.2813514
"Tom",0.37485945,0.382424,0.3613852,0.38816562,0.43186218,0.2813514,1.0000001
