"","Alicia","Amber","Jenna","Rob","Rupert","ShiiAnn","Tom"
"Alicia",0.99999994,0.081375726,0.09129964,0.08540726,0.11450412,0.13097939,0.13996263
"Amber",0.081375726,1,0.5541209,0.17643821,0.5770538,0.17843138,0.52534556
"Jenna",0.09129964,0.5541209,1.0000001,0.2209474,0.54768467,0.22425008,0.53634465
"Rob",0.08540726,0.17643821,0.2209474,1,0.43023384,0.17804076,0.26068032
"Rupert",0.11450412,0.5770538,0.54768467,0.43023384,1.0000004,0.26641184,0.5672269
"ShiiAnn",0.13097939,0.17843138,0.22425008,0.17804076,0.26641184,1.0000004,0.3943529
"Tom",0.13996263,0.52534556,0.53634465,0.26068032,0.5672269,0.3943529,1
