"","Alicia","Amber","Jenna","Rob","Rupert","ShiiAnn","Tom"
"Alicia",0.99999994,0.106054865,0.0793232,0.075233474,0.10292376,0.1044106,0.99999994
"Amber",0.106054865,1.0000004,0.43154147,0.20707624,0.40737715,0.38380897,0.106054865
"Jenna",0.0793232,0.43154147,1.0000004,0.29698163,0.54687035,0.33121172,0.0793232
"Rob",0.075233474,0.20707624,0.29698163,1.0000002,0.2398248,0.13599606,0.075233474
"Rupert",0.10292376,0.40737715,0.54687035,0.2398248,0.9999999,0.38499153,0.10292376
"ShiiAnn",0.1044106,0.38380897,0.33121172,0.13599606,0.38499153,1.0000001,0.1044106
"Tom",0.99999994,0.106054865,0.0793232,0.075233474,0.10292376,0.1044106,0.99999994
